DDBJ/ENA/GenBank Accession	UBA Genome ID	SRA Bin ID	Genome Quality	CheckM Completeness	CheckM Contamination	CheckM Strain Heterogeneity	NCBI Organism Name	SSU Length (bp)	SSU Percent Identity (top hit)	SSU SILVA Taxonomy (top hit)	SSU Top Hit in SILVA	Genome Size (bp)	GC	Coverage	Bases >5x Coverage (%)	No. Ambiguous Bases	No. Contigs	No. Scaffolds	No. Predicted Genes	Coding density	Longest Contig (bp)	Longest Scaffold (bp)	Mean Contig Length (bp)	Mean Scaffold Length (bp)	N50 (contigs)	N50 (scaffolds)	Translation Table	Scaffolds Removed by Filtering	Standard tRNAs	Selenocysteine tRNAs (TCA)	tRNAs Decoding Standard 20 AA	Total tRNAs	Percent PG (relative to NCBI genomes)	CheckM Marker Lineage	CheckM # genomes	CheckM # marker sets	CheckM # markers	CheckM Insertion Branch ID	Environment
DGZM00000000	UBA4980	SRX691279	Near complete	92.66	0.98	0	Firmicutes bacterium UBA4980 [phylum]					2616193	60.68872437	15.99	99.78144434	79997	519	192	2510	0.833817306	39853	59455	4886	13626	9095	19877	11	11	18	1	37	38	0.011065	p__Firmicutes (UID239)	1324	102	176	UID239	Bioreactor
DGZL00000000	UBA4981	SRX691279	Near complete	90.49	2.45	0	Firmicutes bacterium UBA4981 [phylum]					2468933	49.69653135	15.19	99.52144691	53527	397	170	2279	0.819167632	55456	87608	6084	14523	11244	20601	11	29	17	0	26	27	0.005261	p__Firmicutes (UID239)	1324	102	176	UID239	Bioreactor
DGZB00000000	UBA4991	SRX691278	Near complete	90.81	0	0	Firmicutes bacterium UBA4991 [phylum]					2515458	49.07022173	32.64	99.90873266	95096	532	153	2378	0.819977913	29457	85963	4549	16440	8302	27108	11	24	15	0	25	26	0.010821	c__Clostridia (UID1118)	387	124	223	UID1421	Bioreactor
DGZA00000000	UBA4992	SRX691278	Near complete	93.5	0	0	Firmicutes bacterium UBA4992 [phylum]					2169207	50.39658311	31.01	99.98435423	8878	83	41	2127	0.889585918	122502	204980	26028	52907	55007	80747	11	0	19	1	44	49	0.034679	p__Firmicutes (UID241)	930	118	213	UID1023	Bioreactor
DGYW00000000	UBA4996	SRX691278	Near complete	96.19	1.69	0	Firmicutes bacterium UBA4996 [phylum]					2516066	46.34800112	18.61	99.69768656	38505	247	75	2443	0.880183588	77493	262843	10030	33547	29109	72102	11	129	16	0	28	28	0.00842	p__Firmicutes (UID241)	930	118	213	UID242	Bioreactor
DGYV00000000	UBA4997	SRX691278	Medium	79.28	0.77	50	Peptococcaceae bacterium UBA4997 [family]	711	95.516	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;uncultured;uncultured bacterium	JX575877.1.1333	1735796	40.47804623	11.88	97.23412247	71731	450	73	1596	0.747419052	35580	66653	3697	23778	8474	36973	11	3	13	0	22	23	0.031487	c__Clostridia (UID1085)	35	196	420	UID1109	Bioreactor
DGYI00000000	UBA5010	SRX822819	Near complete	96.93	2.45	0	Firmicutes bacterium UBA5010 [phylum]					3306877	33.22215149	7.21	99.78722044	6278	134	74	3177	0.872022757	251829	251829	24631	44687	61004	86300	11	15	8	0	12	12	0.010772	o__Clostridiales (UID1120)	304	143	250	UID1126	Built Environment
DICK00000000	UBA5028	SRX823250	Medium	75.69	1.9	33.33	Leuconostoc lactis [species]	660	100	Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc;Leuconostoc argentinum KCTC 3773	AEGQ01000051.3546.5075	1318409	43.95231707	9	94.88058405	24277	383	148	1391	0.825220398	19164	37329	3378	8908	5270	10581	11	2	14	0	26	27	0.000366	f__Leuconostocaceae (UID486)	29	178	443	UID497	Built Environment
DHVT00000000	UBA5201	SRX559902	Near complete	99.29	3.19	0	Firmicutes bacterium UBA5201 [phylum]					3167382	41.34323909	45.57	99.99510564	470	35	30	3033	0.917738372	347082	347084	90483	105579	175818	199816	11	3	17	0	35	36	0.021105	o__Clostridiales (UID1120)	304	141	247	UID1148	Biofilm
DHUV00000000	UBA5225	SRX691264	Near complete	90.71	1.13	0	Firmicutes bacterium UBA5225 [phylum]					2529265	37.8261313	51.44	99.94088266	19003	191	106	2348	0.838164447	71908	73934	13142	23860	25507	35763	11	39	19	0	45	46	0.009762	p__Firmicutes (UID241)	930	118	213	UID242	Bioreactor
DHUT00000000	UBA5227	SRX691264	Near complete	94.81	1.4	0	Firmicutes bacterium UBA5227 [phylum]					2952350	36.37117074	44.49	99.80204382	29986	244	108	2785	0.862939353	98467	148875	11976	27336	26582	42020	11	1	8	0	14	16	0.008016	o__Clostridiales (UID1120)	304	143	250	UID1125	Bioreactor
DHUJ00000000	UBA5237	SRX691264	Medium	78.18	2.82	0	Firmicutes bacterium UBA5237 [phylum]					1829103	49.50276363	13.44	99.31323585	72896	470	160	1834	0.794581825	28174	61947	3736	11431	6816	14602	11	1	14	0	26	27	0.010376	p__Firmicutes (UID241)	930	118	213	UID242	Bioreactor
DHTY00000000	UBA5248	SRX691265	Medium	85.72	0	0	Firmicutes bacterium UBA5248 [phylum]					1708042	51.48476712	27.09	99.97383935	41417	258	104	1764	0.851957973	61061	86627	6459	16423	11833	24484	11	5	18	1	35	37	0.034679	p__Firmicutes (UID241)	930	118	213	UID1023	Bioreactor
DHTT00000000	UBA5253	SRX691265	Medium	89.35	0.98	0	Firmicutes bacterium UBA5253 [phylum]					3016979	60.17950032	13.84	99.21127103	74143	543	211	2875	0.828495657	46129	70233	5419	14298	11812	22925	11	10	18	0	36	37	0.010977	p__Firmicutes (UID239)	1324	102	176	UID239	Bioreactor
DHTS00000000	UBA5254	SRX691265	Partial	67.01	0	0	Bacillales bacterium UBA5254 [order]	562	87.319	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Asteroleplasma;uncultured bacterium	JQ191093.1.1342	1443958	37.58322394	11.86	97.66525703	68903	445	149	1255	0.762732711	32879	64443	3090	9690	6624	12873	11	3	17	0	31	31	0.028173	k__Bacteria (UID2329)	174	89	149	UID2372	Bioreactor
DHTR00000000	UBA5255	SRX691265	Medium	83.95	1.9	0	Pelotomaculum sp. UBA5255 [genus]					2407411	50.17593851	11.02	97.43065807	77904	516	116	2342	0.771792602	38996	92289	4514	20753	10728	36369	11	6	17	0	29	30	0.005788	p__Firmicutes (UID1022)	100	158	295	UID1095	Bioreactor
DHTP00000000	UBA5257	SRX691265	Near complete	93.22	3.39	0	Aminobacterium sp. UBA5257 [genus]	518	97.603	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium;uncultured Ruminococcaceae bacterium	KC555216.1.1617	2125739	43.8573252	10.36	96.42541754	51203	336	56	1953	0.829398153	56114	114428	6174	37959	12984	70871	11	0	13	0	28	30	0.000129	k__Bacteria (UID209)	5443	59	105	UID233	Bioreactor
DHTE00000000	UBA5268	SRX691266	Near complete	90.18	4.8	0	Firmicutes bacterium UBA5268 [phylum]					3378250	41.93514033	17.65	99.64843379	82427	562	196	3066	0.810987346	39713	70555	5864	17235	12053	27354	11	35	16	0	35	36	0.033168	p__Firmicutes (UID241)	930	118	213	UID1022	Bioreactor
DHSX00000000	UBA5275	SRX691266	Near complete	91.96	2.94	0	Firmicutes bacterium UBA5275 [phylum]					2875656	60.36033459	11.42	98.31929918	79144	572	160	2726	0.814940313	48392	164332	4889	17972	9886	25755	11	14	16	0	31	32	0.011143	p__Firmicutes (UID239)	1324	102	176	UID239	Bioreactor
DHSU00000000	UBA5278	SRX691266	Partial	69.7	0.28	0	Firmicutes bacterium UBA5278 [phylum]					1920065	48.95517611	8.88	94.03094951	76740	557	117	1856	0.755688479	25787	99677	3309	16410	6462	23940	11	2	15	0	24	25	0.0106	p__Firmicutes (UID241)	930	118	213	UID242	Bioreactor
DHSM00000000	UBA5286	SRX691267	Near complete	94.77	0	0	Firmicutes bacterium UBA5286 [phylum]					2215212	50.04420686	111.36	100.0022183	6279	63	33	2193	0.888619238	198897	198897	35062	67127	63312	88737	11	1	18	1	47	51	0.034679	p__Firmicutes (UID241)	930	118	213	UID1023	Bioreactor
DHSJ00000000	UBA5289	SRX691267	Near complete	91.77	2.05	0	Firmicutes bacterium UBA5289 [phylum]					2849033	60.37165765	40.45	99.99546135	72876	476	165	2663	0.828670289	83278	100956	5832	17266	12680	29475	11	10	15	0	33	33	0.011051	p__Firmicutes (UID239)	1324	102	176	UID239	Bioreactor
DHSG00000000	UBA5292	SRX691267	Medium	88.42	0.85	0	Firmicutes bacterium UBA5292 [phylum]					2572536	50.44608964	29.21	99.98915977	72590	462	123	2395	0.821272861	53773	126524	5411	20914	9972	31358	11	0	17	0	38	41	0.030156	p__Firmicutes (UID241)	930	118	213	UID1023	Bioreactor
DHSF00000000	UBA5293	SRX691267	Medium	90.95	5.93	16.67	Firmicutes bacterium UBA5293 [phylum]					3079471	41.90648501	19.72	99.77539061	43979	369	133	2778	0.828548799	68453	118378	8226	23153	15049	34734	11	11	16	0	28	31	0.033168	p__Firmicutes (UID241)	930	118	213	UID1022	Bioreactor
DHRY00000000	UBA5300	SRX691267	Medium	78.06	1.13	0	Firmicutes bacterium UBA5300 [phylum]					2502188	37.83126322	10.57	98.04210575	80096	606	157	2319	0.761436391	43786	73461	3996	15937	7383	22321	11	3	13	0	24	25	0.009762	p__Firmicutes (UID241)	930	118	213	UID1023	Bioreactor
DHRX00000000	UBA5301	SRX691267	Medium	73.39	3.29	33.33	Firmicutes bacterium UBA5301 [phylum]					1916905	44.82822045	10.01	95.8452825	79259	609	198	1988	0.797595082	41094	51555	3017	9681	5768	12745	11	25	15	1	25	28	0.02203	p__Firmicutes (UID240)	1318	104	179	UID240	Bioreactor
DHRC00000000	UBA5322	SRX691263	Medium	85.45	2.12	0	Firmicutes bacterium UBA5322 [phylum]					2678578	50.27235693	25.93	99.99257558	79048	524	107	2516	0.810674544	39938	165125	4960	25033	9259	42697	11	6	18	0	41	42	0.029835	p__Firmicutes (UID241)	930	118	213	UID242	Bioreactor
DHRA00000000	UBA5324	SRX691263	Medium	83.99	0.28	0	Firmicutes bacterium UBA5324 [phylum]					2756001	50.64266993	26.51	99.94768217	39910	321	97	2601	0.839764209	56146	159908	8461	28412	16719	47189	11	1	18	0	38	40	0.015149	p__Firmicutes (UID241)	930	118	213	UID1023	Bioreactor
DHQU00000000	UBA5330	SRX691263	Medium	85.59	0.86	66.67	Firmicutes bacterium UBA5330 [phylum]					2492916	48.91386499	10.12	97.72476527	75583	659	191	2341	0.810631806	49514	73061	3668	13051	8135	21497	11	17	14	0	23	23	0.010782	c__Clostridia (UID1118)	387	124	223	UID1421	Bioreactor
DHQF00000000	UBA5345	SRX691283	Medium	84.56	0	0	Ruminococcaceae bacterium UBA5345 [family]	1510	100	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 5;uncultured bacterium	JX575808.1.1480	1653911	50.7936566	492.34	100.0079256	13655	88	15	1567	0.859133291	80598	250069	18639	110260	39052	149102	11	1	16	0	33	33	0.017174	o__Clostridiales (UID1212)	172	149	263	UID1234	Bioreactor
DHPX00000000	UBA5353	SRX691283	Near complete	91.17	0	0	Firmicutes bacterium UBA5353 [phylum]					2004359	50.60806517	51.09	99.99393854	24637	177	67	1995	0.8641431	132764	146359	11184	29915	35296	58065	11	10	19	1	48	50	0.03472	p__Firmicutes (UID241)	930	118	213	UID1023	Bioreactor
DHPO00000000	UBA5362	SRX691283	Medium	77.61	1.96	0	Firmicutes bacterium UBA5362 [phylum]					2385781	60.34503525	21.29	99.97010167	44513	321	96	2201	0.831798476	75272	186604	7293	24851	15693	47361	11	34	18	0	35	35	0.011051	p__Firmicutes (UID239)	1324	102	176	UID239	Bioreactor
DHPN00000000	UBA5363	SRX691283	Medium	84.29	0	0	Atopobiaceae bacterium UBA5363 [family]	472	96.535	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 5;uncultured Ruminococcaceae bacterium	KC555197.1.1482	1368025	54.58009798	20.42	99.92486835	21056	147	35	1272	0.861256921	67377	135553	9163	39086	24763	80081	11	6	18	0	33	34	0.008318	p__Actinobacteria (UID2112)	31	124	211	UID2137	Bioreactor
DHOO00000000	UBA5388	SRX691282	Near complete	93.22	2.26	0	Firmicutes bacterium UBA5388 [phylum]					3197706	41.73059243	19.61	99.93873011	41180	341	145	2891	0.831667764	63246	153611	9256	22053	19518	35203	11	7	16	0	34	34	0.033056	p__Firmicutes (UID241)	930	118	213	UID1022	Bioreactor
DHON00000000	UBA5389	SRX691282	Near complete	94.36	1.96	0	Firmicutes bacterium UBA5389 [phylum]					3286765	59.83713129	17.09	99.82713423	21804	248	135	3006	0.868489229	90656	112138	13165	24346	28015	41352	11	28	17	0	36	37	0.011065	p__Firmicutes (UID239)	1324	102	176	UID239	Bioreactor
DHOM00000000	UBA5390	SRX691282	Near complete	93.29	0.85	0	Firmicutes bacterium UBA5390 [phylum]	573	100	Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIV;uncultured;uncultured Clostridiisalibacter sp.	KC555195.1.1487	2172017	47.91826586	15.5	99.82649898	14681	123	41	2086	0.885895921	146836	174665	17539	52976	44307	73405	11	0	18	1	35	39	0.036568	p__Firmicutes (UID241)	930	118	213	UID1023	Bioreactor
DHOD00000000	UBA5399	SRX691282	Medium	85.24	0	0	Catabacter sp. UBA5399 [genus]	459	93.416	Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;uncultured;uncultured bacterium	FJ374211.1.1495	2270357	52.14418973	8.97	94.36294964	82351	654	161	2231	0.786414648	25784	59591	3345	14101	6439	20763	11	1	14	0	23	24	0.010218	o__Clostridiales (UID1120)	304	143	250	UID1120	Bioreactor
DHNU00000000	UBA5408	SRX691280	Medium	73.7	0	0	Ruminococcaceae bacterium UBA5408 [family]	322	98.316	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 5;uncultured bacterium	AB826017.1.1443	1337210	38.07812352	31.85	99.96831937	36731	234	80	1290	0.791913013	33640	58305	5557	16715	9484	25410	11	10	16	0	28	28	0.006263	o__Clostridiales (UID1212)	172	149	263	UID1234	Bioreactor
DHNI00000000	UBA5420	SRX691280	Medium	85.96	2.54	0	Firmicutes bacterium UBA5420 [phylum]					2555034	47.81061462	12.05	98.48330279	81897	597	174	2516	0.808137583	32829	122386	4142	14684	8589	22401	11	13	17	0	30	30	0.010153	p__Firmicutes (UID241)	930	118	213	UID242	Bioreactor
DIRW00000000	UBA5426	SRX691281	Near complete	97.32	0	0	Ruminococcaceae bacterium UBA5426 [family]	1807	99.932	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 5;uncultured bacterium	JX575808.1.1480	1737345	50.76539288	1687.09	100.0089218	11238	62	14	1639	0.866484204	175484	470932	27840	124096	47532	207964	11	0	20	0	40	42	0.017174	o__Clostridiales (UID1212)	172	149	263	UID1234	Bioreactor
DIRN00000000	UBA5435	SRX691281	Medium	89.41	2.54	0	Firmicutes bacterium UBA5435 [phylum]	982	91.223	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfitibacter;uncultured bacterium	DQ234646.1.1580	2764925	39.45966779	42.71	99.99351607	4253	140	120	2610	0.868191	118274	118279	19719	23041	40918	41478	11	3	19	0	41	42	0.022035	p__Firmicutes (UID241)	930	118	213	UID242	Bioreactor
DIRB00000000	UBA5447	SRX691281	Near complete	91.01	1.47	0	Firmicutes bacterium UBA5447 [phylum]					2437580	37.94289468	19.49	99.83176613	17140	130	55	2277	0.850882843	141286	190444	18618	44319	32435	75497	11	1	16	0	35	38	0.009762	p__Firmicutes (UID239)	1324	102	176	UID239	Bioreactor
DIQZ00000000	UBA5449	SRX691281	Medium	89.97	0.85	0	Firmicutes bacterium UBA5449 [phylum]					2439697	47.77690083	17.58	99.49837185	42503	288	102	2244	0.827164603	153368	292060	8323	23918	21209	43373	11	35	18	0	39	42	0.008515	p__Firmicutes (UID241)	930	118	213	UID242	Bioreactor
DIQX00000000	UBA5451	SRX691281	Near complete	91.22	1.82	36.36	Thermacetogenium sp. UBA5451 [genus]					2579995	47.35836174	16.16	99.83537489	32996	243	90	2418	0.815890341	58540	114187	10481	28666	22005	49765	11	0	16	1	38	40	0.000191	p__Firmicutes (UID1022)	100	158	295	UID1086	Bioreactor
DIQU00000000	UBA5454	SRX691281	Partial	68.09	0.03	100	Firmicutes bacterium UBA5454 [phylum]					1656147	41.81767339	12.42	98.83243366	32599	266	110	1467	0.821669212	42426	102141	6103	15055	12325	22371	11	13	6	0	7	7	0.008956	c__Clostridia (UID1118)	387	124	223	UID1421	Bioreactor
DIQT00000000	UBA5455	SRX691281	Near complete	96.25	0	0	Bacillales bacterium UBA5455 [order]	1652	100	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-004;uncultured bacterium	GQ134284.1.1313	1074392	36.00069745	12.77	98.85128321	13382	97	22	951	0.858664249	66715	261211	10938	48836	22550	123635	11	1	19	0	28	29	0.03002	k__Bacteria (UID2329)	174	89	149	UID2372	Bioreactor
DIQP00000000	UBA5459	SRX691281	Medium	85.25	1.27	100	Firmicutes bacterium UBA5459 [phylum]					1845461	51.01518235	9.67	96.02149686	66224	488	142	1951	0.805960679	23102	65595	3645	12996	7073	18831	11	3	11	1	15	17	0.03458	p__Firmicutes (UID241)	930	118	213	UID1023	Bioreactor
DIQD00000000	UBA5471	SRX691286	Medium	83.43	1.21	50	Firmicutes bacterium UBA5471 [phylum]					2645100	48.88137907	17.12	99.52231842	89632	625	189	2597	0.819628369	30462	131753	4088	13995	7935	20295	11	7	15	0	23	26	0.010978	c__Clostridia (UID1118)	387	124	223	UID1421	Bioreactor
DIQC00000000	UBA5472	SRX691286	Near complete	92.51	1.27	50	Thermacetogenium sp. UBA5472 [genus]					2326107	45.36995179	14.64	99.72544869	29997	266	107	2281	0.820501378	71618	119502	8631	21739	18148	31372	11	10	17	1	37	39	0.008439	p__Firmicutes (UID1022)	100	158	295	UID1086	Bioreactor
DIQB00000000	UBA5473	SRX691286	Partial	65.02	1.13	0	Firmicutes bacterium UBA5473 [phylum]					1907581	47.537645	14.71	99.33123944	47573	372	135	1851	0.807501752	53041	69861	5000	14130	9823	21211	11	3	15	0	30	31	0.010587	p__Firmicutes (UID241)	930	118	213	UID242	Bioreactor
DIQA00000000	UBA5474	SRX691286	Near complete	93.79	2.12	0	Firmicutes bacterium UBA5474 [phylum]					2659505	48.27305267	13.29	98.9042558	23032	246	86	2655	0.876893256	64461	192892	10717	30924	24469	54923	11	3	18	0	41	44	0.009661	p__Firmicutes (UID241)	930	118	213	UID242	Bioreactor
DIPQ00000000	UBA5484	SRX691284	Near complete	94.14	0	0	Firmicutes bacterium UBA5484 [phylum]					2088240	47.94776227	36.98	100.001633	6220	71	35	2016	0.898622285	347333	375931	29324	59664	66470	103750	11	13	19	1	49	50	0.036568	p__Firmicutes (UID241)	930	118	213	UID1023	Bioreactor
DIPO00000000	UBA5486	SRX691284	Near complete	91.24	4.24	0	Firmicutes bacterium UBA5486 [phylum]					2834323	38.73874675	35.62	99.96738163	23024	242	81	2544	0.840205933	68809	175903	11616	34991	21331	62172	11	2	17	0	39	40	0.032197	p__Firmicutes (UID241)	930	118	213	UID1022	Bioreactor
DIPL00000000	UBA5489	SRX691284	Medium	83.47	0	0	Catabacter sp. UBA5489 [genus]	759	86.239	Bacteria;Firmicutes;Clostridia;Clostridiales;Caldicoprobacteraceae;Caldicoprobacter;uncultured bacterium	JQ428133.1.1483	960543	30.85247454	21.25	99.94246351	8104	66	22	780	0.815676133	107414	133075	14430	43661	40954	72244	11	0	20	0	36	36	0.045999	k__Bacteria (UID2329)	174	89	149	UID2329	Bioreactor
DIPH00000000	UBA5493	SRX691284	Near complete	94.89	1.69	0	Firmicutes bacterium UBA5493 [phylum]					2849227	48.16078715	15.15	99.83028821	6761	113	53	2858	0.899350245	150695	224133	25154	53759	47062	106630	11	5	17	0	36	37	0.009661	p__Firmicutes (UID241)	930	118	213	UID242	Bioreactor
DIPE00000000	UBA5496	SRX691284	Medium	86.07	0	0	Firmicutes bacterium UBA5496 [phylum]					1856037	51.93015994	11.25	98.7385126	51342	444	116	1898	0.822944801	42357	64045	4064	16000	9454	22034	11	4	16	1	27	32	0.034212	p__Firmicutes (UID241)	930	118	213	UID1023	Bioreactor
DIPB00000000	UBA5499	SRX691284	Medium	77.5	2.4	0	Firmicutes bacterium UBA5499 [phylum]					2627579	52.45757913	8.21	91.06229311	95453	929	204	2557	0.757494637	20568	65743	2725	12880	5118	18363	11	3	14	0	20	21	0.008655	p__Firmicutes (UID241)	930	118	213	UID242	Bioreactor
DIPA00000000	UBA5500	SRX691284	Medium	79.15	1.69	33.33	Firmicutes bacterium UBA5500 [phylum]					2276730	49.04807389	8.16	91.89879815	84438	822	131	2134	0.723115609	19513	153652	2667	17379	5532	23463	11	1	15	1	23	26	0.027831	p__Firmicutes (UID241)	930	118	213	UID242	Bioreactor
DIOR00000000	UBA5509	SRX691285	Near complete	94.56	0	0	Firmicutes bacterium UBA5509 [phylum]					2121455	47.80735193	43.91	100.0008025	3126	45	29	2055	0.90210728	207122	230883	47073	73153	99036	144423	11	1	19	1	50	53	0.036568	p__Firmicutes (UID241)	930	118	213	UID1023	Bioreactor
DIOK00000000	UBA5516	SRX691285	Medium	87.79	0.42	0	Firmicutes bacterium UBA5516 [phylum]	568	99.432	Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Gelria;uncultured Clostridiales bacterium	JX456423.1.1495	2584832	47.86367296	9.33	94.62921758	63542	534	38	2348	0.766941913	45998	203155	4721	68021	9469	133743	11	0	18	0	34	39	0.008554	p__Firmicutes (UID241)	930	118	213	UID242	Bioreactor
DIOJ00000000	UBA5517	SRX691285	Medium	72.38	0.22	100	Clostridiales bacterium UBA5517 [order]	1092	97.122	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae NK4A214 group;uncultured Ruminococcaceae bacterium	JN680617.1.1458	1823930	55.64125791	8.42	92.42041818	67593	555	59	1836	0.780597391	34874	160486	3164	30914	6677	56343	11	1	11	0	22	23	0.012602	o__Clostridiales (UID1212)	172	149	263	UID1230	Bioreactor
DIOA00000000	UBA5526	SRX823264	Near complete	92.01	3.85	14.29	Firmicutes bacterium UBA5526 [phylum]					4098678	35.37693947	18.19	99.85379863	11165	219	107	4024	0.871514181	184237	184241	18664	38305	43399	74430	11	13	14	0	24	25	0.006218	o__Clostridiales (UID1120)	304	143	250	UID1125	Built Environment
DIMT00000000	UBA5559	SRX392470	Medium	86.29	1.42	0	Firmicutes bacterium UBA5559 [phylum]					1941859	49.01765936	12.76	97.85249178	679	59	39	1833	0.925481201	130421	143913	32901	49791	63936	74316	11	0	16	0	30	31	0.013252	o__Clostridiales (UID1120)	304	141	247	UID1150	Bioreactor
DIMR00000000	UBA5561	SRX392470	Near complete	95.36	1.75	66.67	Firmicutes bacterium UBA5561 [phylum]	824	99.757	Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;uncultured;uncultured Soehngenia sp.	EU721800.1.1391	2047817	42.42828102	11.14	94.98061319	3902	204	113	2157	0.905619496	84575	84595	10019	18122	20873	30155	11	1	13	1	24	26	0.017111	o__Clostridiales (UID1120)	304	143	250	UID1126	Bioreactor
DIMI00000000	UBA5570	SRX823046	Near complete	98.67	1.07	0	Leuconostoc lactis [species]	787	99.361	Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc;Leuconostoc argentinum KCTC 3773	AEGQ01000051.3546.5075	1604189	43.61510971	9.44	91.32553606	3629	84	31	1657	0.892682221	84878	148984	19054	51748	37566	76126	11	0	16	0	31	34	0.000257	f__Leuconostocaceae (UID486)	29	178	443	UID497	Built Environment
DIKF00000000	UBA5625	SRX211342	Medium	81.59	2.66	0	Firmicutes bacterium UBA5625 [phylum]					2521528	46.07803616	17.8	99.40502457	6130	259	177	2630	0.855405532	128707	141047	9711	14245	17828	22304	11	5	15	0	33	34	0.001502	p__Firmicutes (UID1022)	100	158	295	UID1091	Bioreactor
DIGT00000000	UBA5715	SRX823306	Near complete	99.63	0	0	Enterococcus faecalis [species]	328	100	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis	JMEC01000001.672967.674528	2819849	37.40137449	17.87	99.92048934	1359	43	26	2655	0.88022231	496938	496958	65546	108455	133851	171477	11	4	16	0	31	32	0	o__Lactobacillales (UID544)	293	267	475	UID784	Built Environment
DIGA00000000	UBA5734	SRX210886	Near complete	95.04	2.48	25	Mageeibacillus sp. UBA5734 [genus]	882	98.19	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Fastidiosipila;uncultured bacterium	HM445961.1.1483	2697096	55.51117953	178.2	99.9879413	1947	156	124	2469	0.910341345	114191	114191	17276	21750	26052	30739	11	23	18	0	37	37	0.01554	o__Clostridiales (UID1120)	304	141	247	UID1214	Bioreactor
DIFY00000000	UBA5736	SRX210886	Near complete	90.6	0	0	Clostridiales bacterium UBA5736 [order]	596	95.134	Bacteria;Firmicutes;Clostridia;Clostridiales;uncultured;uncultured bacterium	JX223397.1.1314	2074900	34.04851475	161.64	100.003761	974	32	22	1872	0.885012772	424969	424969	64810	94313	136687	174839	11	2	10	0	20	21	0.018665	o__Clostridiales (UID1212)	172	149	263	UID1247	Bioreactor
DIFJ00000000	UBA5751	SRX210886	Near complete	93.76	2.26	0	Syntrophaceae bacterium UBA5751 [family]	352	98.462	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Pelotomaculum;uncultured Peptococcaceae bacterium	JQ086999.1.1452	2588094	53.30981413	76.57	99.89557909	2405	125	88	2493	0.877920972	102340	102340	20685	29410	36727	44473	11	7	13	0	24	26	0.014751	c__Deltaproteobacteria (UID3216)	83	155	247	UID3217	Bioreactor
DIFD00000000	UBA5757	SRX210886	Medium	89.12	0.95	0	Peptococcaceae bacterium UBA5757 [family]	582	91.147	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;uncultured;uncultured bacterium	JQ245638.1.1499	1937085	43.77003453	38.17	99.98734933	429	32	25	1809	0.861935847	365176	365182	60520	77483	318763	318767	11	2	15	0	35	35	0.031576	c__Clostridia (UID1085)	35	196	420	UID1109	Bioreactor
DIFB00000000	UBA5759	SRX210886	Near complete	95.59	0	0	Firmicutes bacterium UBA5759 [phylum]					1994082	42.52839759	25.2	99.88462693	8350	252	143	2011	0.896227938	96927	96927	7879	13944	16240	24327	11	20	11	1	18	19	0.017111	o__Clostridiales (UID1120)	304	143	250	UID1126	Bioreactor
DIEU00000000	UBA5766	SRX210886	Medium	89.21	3.71	0	Firmicutes bacterium UBA5766 [phylum]	311	97.674	Bacteria;Caldiserica;Caldisericia;Caldisericales;WCHB1-02;uncultured bacterium	KJ881327.1.1505	2122677	45.96067553	20.97	99.81726652	1555	108	83	2096	0.864742022	131141	131141	19640	25574	35374	41632	11	7	14	0	29	30	0.001634	p__Firmicutes (UID1022)	100	158	295	UID1091	Bioreactor
DIEM00000000	UBA5774	SRX210886	Near complete	96.43	1.65	33.33	Firmicutes bacterium UBA5774 [phylum]					2535298	49.13456694	12.69	96.89808402	671	87	75	2415	0.909499396	157970	157974	29133	33803	45371	51680	11	0	16	1	30	31	0.014052	o__Clostridiales (UID1120)	304	141	247	UID1150	Bioreactor
